gate	decision_id	selected_option	approval_mode	final_status
G0-10A	BD-001	A1_ROLE_BASED_OWNERSHIP	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10B	BD-002	B1_A0_RECOMMEND_ONLY	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10C	BD-003	C1_RISK_TIERED_QUORUM	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10D	BD-004	D1_NO_NUMERIC_BUSINESS_THRESHOLD	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10E	BD-005	E1_VERSIONED_PROTECTED_LIST	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10F	BD-006	F1_CONSERVATIVE_PUBLIC_PLATFORM	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10G	BD-007	G1_NARROW_MATERIAL_OBJECTIVELY_VERIFIABLE	EXPLICIT_SUB_GATE_TOKEN	APPROVED
G0-10H	BD-008	H1_VERSIONED_TWO_TIER_RESTRICTED_REGISTRY	USER_DELEGATED_RECOMMENDED_OPTIONS	APPROVED
G0-10I	BD-009	I1_DUAL_LANE_HUMAN_LEGAL_TRIAGE	USER_DELEGATED_RECOMMENDED_OPTIONS	APPROVED
G0-10J	BD-010	J1_VERSIONED_COMPATIBLE_ALIAS_DEPRECATION	USER_DELEGATED_RECOMMENDED_OPTIONS	APPROVED
G0-10K	BD-011	K1_GENERAL_CONTRACT_CONTENT_FIRST	USER_DELEGATED_RECOMMENDED_OPTIONS	APPROVED
G0-10L	BD-012	L1_MINIMUM_SAFE_OPERATING_BASELINE	USER_DELEGATED_RECOMMENDED_OPTIONS	APPROVED
