gap_id	priority	class	source_findings
CG-001	P0	MISSING	SRC-004,N8N-004,FE-007,DB-010
CG-002	P0	CONFLICT	SRC-005,FE-008,N8N-006,DB-008,DB-009
CG-003	P0	CONFLICT	SRC-006,SRC-007,FE-006,DB-014
CG-004	P0	CONFLICT	SRC-014,SRC-015,DB-002,DB-003,DB-004,DB-005
CG-005	P0	MISSING	N8N-014,DB-011,DB-013
CG-006	P0	CONFLICT	SRC-003,N8N-003,N8N-013
CG-007	P1	MISSING	N8N-005
CG-008	P1	MISSING	SRC-010,N8N-007,N8N-009,FE-010,DB-011
CG-009	P1	MISSING	SRC-013,N8N-008
CG-010	P1	CONFLICT	SRC-008,SRC-009,DB-014
CG-011	P1	MISSING	FE-006,FE-007,FE-008,FE-009,FE-010
CG-012	P1	MISSING	N8N-011,N8N-012
CG-013	P1	LEGACY	SRC-011,SRC-012,FE-011
CG-014	P1	MISSING	DB-012
CG-015	P1	UNKNOWN	SRC-017,FE-012,FE-013,DB-007
CG-016	P1	LEGACY	CURRENT_ENUM,GLOSSARY-D5
CG-017	P1	CONFLICT	FE-005
CG-018	P2	UNKNOWN	N8N-002,FE-013,DB-016
CG-019	P2	LEGACY	DB-015
