reason_code	candidate_rules	classification
DISLIKE_CONTENT	CSR.ROUTE.001	NON_VIOLATION_SIGNAL
SPAM	CSR.SPAM.001	VIOLATION_CANDIDATE
BULLYING_OR_UNWANTED_CONTACT	CSR.HAR.002	VIOLATION_CANDIDATE
SCAM_OR_FRAUD	CSR.INT.003	VIOLATION_CANDIDATE
HARASSMENT	CSR.HAR.001;CSR.HAR.002	MULTI_RULE_CANDIDATE
SELF_HARM_OR_ABNORMAL_EATING	CSR.SAF.003	VIOLATION_CANDIDATE
HATE_SPEECH	CSR.HATE.001	VIOLATION_CANDIDATE
VIOLENCE_HATE_OR_EXPLOITATION	CSR.SAF.002;CSR.HATE.001	MULTI_FAMILY_CANDIDATE
VIOLENCE_THREAT	CSR.SAF.001	VIOLATION_CANDIDATE
NUDITY_OR_SEXUAL_ACTIVITY	CSR.SEX.001	VIOLATION_CANDIDATE
SEXUAL_CONTENT	CSR.SEX.001;CSR.SEX.002	MULTI_RULE_CANDIDATE
PRIVACY_VIOLATION	CSR.PRIV.001	VIOLATION_CANDIDATE
SCAM_FRAUD_OR_SPAM	CSR.INT.003;CSR.SPAM.001	MULTI_FAMILY_CANDIDATE
COPYRIGHT_VIOLATION	CSR.IP.001	VIOLATION_CANDIDATE
FALSE_INFORMATION	CSR.INT.002	VIOLATION_CANDIDATE
INTELLECTUAL_PROPERTY	CSR.IP.001;CSR.IP.002	MULTI_RULE_CANDIDATE
IMPERSONATION	CSR.INT.001	VIOLATION_CANDIDATE
FAKE_OR_MISLEADING	CSR.INT.001;CSR.INT.002	MULTI_RULE_CANDIDATE
INAPPROPRIATE_IMAGE	CSR.ROUTE.003	ROUTING_CONTROL
RESTRICTED_GOODS	CSR.COM.001	VIOLATION_CANDIDATE
OFF_TOPIC_OR_IRRELEVANT	CSR.REL.001	NON_VIOLATION_SIGNAL
OTHER	CSR.ROUTE.002	ROUTING_CONTROL
