gap_id	primary_policy_artifacts	coverage_status	next_detail_gate
CG-001	community-policy-principles;report-decision-framework	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-002	severity-framework;report-decision-framework	POLICY_REQUIREMENT_PROPOSED	G0-10/G0-11
CG-003	community-policy-principles;enforcement-action-framework	POLICY_REQUIREMENT_PROPOSED	G0-10
CG-004	policy-taxonomy;policy-change-process	RULE_DETAIL_DEFERRED	G0-08
CG-005	policy-taxonomy;policy-versioning	RULE_DETAIL_DEFERRED	G0-08
CG-006	community-policy-principles;policy-taxonomy	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-007	report-decision-framework;enforcement-action-framework;policy-exceptions	POLICY_REQUIREMENT_PROPOSED	G0-08/G0-11
CG-008	policy-versioning	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-009	community-policy-principles;policy-versioning	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-010	enforcement-action-framework;policy-exceptions	BUSINESS_DETAIL_DEFERRED	G0-10/G0-11
CG-011	community-policy-principles;report-decision-framework	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-012	community-policy-principles;policy-exceptions;enforcement-action-framework	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-013	community-policy-principles;policy-versioning;policy-change-process	BUSINESS_DETAIL_DEFERRED	G0-10/G0-11
CG-014	report-decision-framework;enforcement-action-framework	IMPLEMENTATION_DECISION_DEFERRED	G0-11
CG-015	severity-framework;policy-change-process	EVALUATION_DETAIL_DEFERRED	G0-09/G0-10
CG-016	enforcement-action-framework	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-017	enforcement-action-framework;report-decision-framework	POLICY_REQUIREMENT_PROPOSED	G0-11
CG-018	policy-versioning;policy-change-process	RUNTIME_VERIFICATION_DEFERRED	G0-11/runtime
CG-019	policy-change-process	DATA_CLEANUP_DEFERRED	future approved migration
